Word,Frequency,Percentage
чувствовать,23,0.01%
avec,22,0.01%
другу,22,0.01%
значит,22,0.01%
Уж,22,0.01%
платья,22,0.01%
рот,22,0.01%
случае,22,0.01%
небо,22,0.01%
узнать,22,0.01%
рука,22,0.01%
ete,22,0.01%
передать,22,0.01%
графом,22,0.01%
fait,22,0.01%
кончено,22,0.01%
марш,22,0.01%
взглянула,22,0.01%
военного,22,0.01%
скажет,22,0.01%
княгини,22,0.01%
десять,22,0.01%
двумя,22,0.01%
доктор,22,0.01%
заметила,22,0.01%
услыхал,22,0.01%
последний,22,0.01%
Генерал,22,0.01%
кабинете,22,0.01%
ожидал,22,0.01%
первую,22,0.01%
жена,22,0.01%
вместо,22,0.01%
представить,22,0.01%
пойду,22,0.01%
слезами,22,0.01%
женой,22,0.01%
ужасно,22,0.01%
горе,22,0.01%
показалась,22,0.01%
волка,22,0.01%
невозможно,22,0.01%
отъезда,21,0.01%
вопросы,21,0.01%
рассказывал,21,0.01%
faire,21,0.01%
робко,21,0.01%
первой,21,0.01%
сильнее,21,0.01%
сих,21,0.01%
причины,21,0.01%
мои,21,0.01%
nest,21,0.01%
Mais,21,0.01%
взглянув,21,0.01%
notre,21,0.01%
четыре,21,0.01%
верхом,21,0.01%
par,21,0.01%
Безухого,21,0.01%
почтительно,21,0.01%
службы,21,0.01%
возможность,21,0.01%
Отец,21,0.01%
предложение,21,0.01%
3,21,0.01%
кровь,21,0.01%
рук,21,0.01%
счастие,21,0.01%
разве,21,0.01%
духа,21,0.01%
хорош,21,0.01%
налево,21,0.01%
русского,21,0.01%
вышли,21,0.01%
Андреем,21,0.01%
опустив,21,0.01%
крики,21,0.01%
войны,21,0.01%
войне,21,0.01%
«Я,21,0.01%
встала,21,0.01%
сделали,21,0.01%
просила,21,0.01%
сердца,21,0.01%
делает,21,0.01%
делалось,21,0.01%
Марью,21,0.01%
делали,21,0.01%
показался,21,0.01%
деревни,21,0.01%
доктора,21,0.01%
братьев,21,0.01%
большое,21,0.01%
утро,21,0.01%
трех,21,0.01%
удовольствие,21,0.01%
остановились,21,0.01%
диване,21,0.01%
Долоховым,21,0.01%
гору,20,0.01%
мужчины,20,0.01%
грудь,20,0.01%
можем,20,0.01%
Для,20,0.01%
неподвижно,20,0.01%
частью,20,0.01%
движением,20,0.01%
Тихон,20,0.01%
желала,20,0.01%
cette,20,0.01%
побежал,20,0.01%
очки,20,0.01%
смерть,20,0.01%
дети,20,0.01%
приехать,20,0.01%
фигура,20,0.01%
м,20,0.01%
молчал,20,0.01%
губы,20,0.01%
платок,20,0.01%
Курагин,20,0.01%
Курагина,20,0.01%
остановил,20,0.01%
Ростовым,20,0.01%
бывало,20,0.01%
спать,20,0.01%
собаки,20,0.01%
слез,20,0.01%
Александра,20,0.01%
моих,20,0.01%
Солдаты,20,0.01%
обе,20,0.01%
позади,20,0.01%
гораздо,20,0.01%
называл,20,0.01%
вслед,20,0.01%
слушая,20,0.01%
большие,20,0.01%
большим,20,0.01%
Два,20,0.01%
слышать,20,0.01%
продолжая,20,0.01%
самому,20,0.01%
quil,20,0.01%
вашего,20,0.01%
кабинета,20,0.01%
кресло,20,0.01%
нами,20,0.01%
верить,20,0.01%
спросить,20,0.01%
Надо,20,0.01%
ласково,20,0.01%
план,20,0.01%
сравнении,20,0.01%
шаг,20,0.01%
кошелек,20,0.01%
вставая,20,0.01%
духе,20,0.01%
новой,20,0.01%
черными,20,0.01%
словами,20,0.01%
мере,20,0.01%
правду,20,0.01%
командиру,19,0.01%
пожал,19,0.01%
мира,19,0.01%
холодно,19,0.01%
какого,19,0.01%
судьба,19,0.01%
волосы,19,0.01%
guerre,19,0.01%
презрительно,19,0.01%
образ,19,0.01%
образом,19,0.01%
меньше,19,0.01%
сначала,19,0.01%
y,19,0.01%
дни,19,0.01%
поднимая,19,0.01%
видите,19,0.01%
дел,19,0.01%
Николаю,19,0.01%
жениться,19,0.01%
писать,19,0.01%
Тут,19,0.01%
третий,19,0.01%
